id;creatoDa;data;comodity;mercato;sede;metodoPagamento;idStatoPda;statoPDA;idStatoLuce;statoLuce;idStatoGas;statoGas;dataImport;idMandato;mandato;winback;dataCreazione;campagna;idCampagna;metodoInvio;pratica;sanataBo;tipoAcquisizione;idGestioneLead;leadId;codMaticola;dataSwitchInLuce;dataSwitchOutLuce;dataSwitchInGas;dataSwitchOutGas;deltaMortalitaLuce;deltaMortalitaGas;noteStatoLuce;noteStatoGas;utm;id;tipoCampagna;pesoComodity;pesoInvio;pesoMPagamento;totalePesoLordo;faseLuce;faseGas;totalePesoNetto;mese;fasePDA;pesoTotalePagato;codicePlicoLuce;codicePlicoGas;pesoFormazione;pezzoLordo;pezzoNetto;pezzoPagato;pezzoFormazione;fasePost;statoPost;faseMacroStatoGas;faseMacroStatoLuce;
176906;admin;2025-05-23;Dual;Residenziale;Lamezia;Bollettino Postale;14;Bozza;2;;2;;2025-06-12 11:25:01;1;Enel;no;2025-05-23 15:05:59;default;56;Bollettaweb;17;no;Switch;NON_PRESENTE;0000;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;176906;Prospect;0.5;0;0;0.5;BKL;BKL;0;2025-05-01;KO;0;;;0;2;0;0;0;BKL;;;;
176907;admin;2025-05-23;Luce;Residenziale;Lamezia;Bollettino Postale;14;Bozza;2;;2;;2025-06-12 11:25:01;1;Enel;no;2025-05-23 15:06:46;default;56;Bollettaweb;18;no;Switch;NON_PRESENTE;0000;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;176907;Prospect;0.5;0;0;0.5;BKL;BKL;0;2025-05-01;KO;0;;;0;1;0;0;0;BKL;;;;
176908;admin;2025-05-23;Gas;Residenziale;Lamezia;Bollettino Postale;14;Bozza;2;;2;;2025-06-12 11:25:01;1;Enel;no;2025-05-23 15:06:46;default;56;Bollettaweb;19;no;Switch;NON_PRESENTE;0000;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;176908;Prospect;0.5;0;0;0.5;BKL;BKL;0;2025-05-01;KO;0;;;0;1;0;0;0;BKL;;;;
179429;antonella.biasi;2025-05-03;Luce;Residenziale;Rende;Rid;43;Irreperibile;2;;2;;2025-06-12 11:25:01;1;Enel;no;2025-06-06 09:58:50;SPN_LEAD;27;;42560;no;;GCL125766;133729;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;;179429;Lead;0.5;0;0;0.5;BKL;BKL;0;2025-05-01;KO;0;;;0;1;0;0;0;BKL;;;;
179430;adele.gualtieri;2025-05-02;Luce;Residenziale;Lamezia;Bolletta;41;KO Recall Interna;2;;2;;2025-06-12 11:25:01;1;Enel;no;2025-06-06 09:58:51;SPN_LEAD;27;;42561;no;;GCL126438;135144;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;;179430;Lead;0.5;0;0;0.5;BKL;BKL;0;2025-05-01;KO;0;;;0;1;0;0;0;BKL;;;;
179431;serafina.lobianco;2025-05-02;Luce;Residenziale;Vibo;Bolletta;29;OK FIRMA;2197;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;2;;2025-06-12 11:25:01;1;Enel;no;2025-06-06 09:58:52;SPN_LEAD;27;;42563;no;;GCL126476;135243;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;;;179431;Lead;0.5;0;0;0.5;KO;BKL;0;2025-05-01;OK;0;ST5837125;;0;1;0;0;0;KO;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;;;
179432;serafina.lobianco;2025-05-02;Gas;Residenziale;Vibo;Bolletta;29;OK FIRMA;2;;51;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;2025-06-12 11:25:01;1;Enel;no;2025-06-06 09:58:52;SPN_LEAD;27;;42564;no;;GCL126476;135243;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;;179432;Lead;0.5;0;0;0.5;BKL;KO;0;2025-05-01;OK;0;;ST5837125;0;1;0;0;0;KO;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;;;
179433;adele.malizia;2025-05-02;Luce;Residenziale;Rende;Bolletta;7;DA FIRMARE;2242;Annullamento per scadenza TP;2;;2025-06-12 11:25:01;1;Enel;no;2025-06-06 09:58:54;SPN_LEAD;27;;42566;no;;GCL126379;134827;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Annullamento per scadenza TP;;;179433;Lead;0.5;0;0;0.5;KO;BKL;0;2025-05-01;BKL;0;ST5847970;;0;1;0;0;0;KO;Annullamento per scadenza TP;;;
179434;gino.lento;2025-05-02;Luce;Residenziale;Rende;Bolletta;29;OK FIRMA;2248;Pck KO Automatico definitivo;2;;2025-06-12 11:25:01;1;Enel;no;2025-06-06 09:58:54;SPN_LEAD;27;;42567;no;;GCL126541;135316;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Pck KO Automatico definitivo;;;179434;Lead;0.5;0;0;0.5;KO;BKL;0;2025-05-01;OK;0;ST5840581;;0;1;0;0;0;KO;Pck KO Automatico definitivo;;;
179435;salvatore.arena;2025-05-02;Gas;Residenziale;Vibo;Rid;29;OK FIRMA;2;;40;Chiusa;2025-06-12 11:25:01;1;Enel;no;2025-06-06 09:58:55;SPN_LEAD;27;;42568;no;;GCL126566;135343;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa;;179435;Lead;0.5;0;0;0.5;BKL;OK;0.5;2025-05-01;OK;0.5;;ST5839197;0;1;1;1;0;OK;Chiusa;;;
