id;creatoDa;data;comodity;mercato;sede;metodoPagamento;idStatoPda;statoPDA;idStatoLuce;statoLuce;idStatoGas;statoGas;dataImport;idMandato;mandato;winback;dataCreazione;campagna;idCampagna;metodoInvio;pratica;sanataBo;tipoAcquisizione;idGestioneLead;leadId;codMaticola;dataSwitchInLuce;dataSwitchOutLuce;dataSwitchInGas;dataSwitchOutGas;deltaMortalitaLuce;deltaMortalitaGas;noteStatoLuce;noteStatoGas;utm;id;tipoCampagna;pesoComodity;pesoInvio;pesoMPagamento;totalePesoLordo;faseLuce;faseGas;totalePesoNetto;mese;fasePDA;pesoTotalePagato;codicePlicoLuce;codicePlicoGas;pesoFormazione;pezzoLordo;pezzoNetto;pezzoPagato;pezzoFormazione;fasePost;statoPost;faseMacroStatoGas;faseMacroStatoLuce;
19046063;giuseppina.ferraiolo;2025-09-01;Gas;Residenziale;SanPietro;Bollettino Postale;15707;Ok Definitivo;2;;6;Activated;2025-10-13 11:23:01;4;Plenitude;no;2025-08-26 14:29:03;SWO2;51;;89328;no;Switch;Vuoto;12539512;AG905779029;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046063;SWO;0.5;0;0;0.5;BKL;OK;0.5;2025-09-01;OK;0.5;;DOA2052193SA;0;1;1;1;0;OK;Activated;;;
19046084;serafina.lobianco;2025-09-02;Gas;Residenziale;Vibo;Bollettino Postale;15707;Ok Definitivo;2;;6;Activated;2025-10-13 11:23:01;4;Plenitude;no;2025-08-26 16:23:57;SPN_LEAD;27;;89438;no;Switch;GCL177773;260033;AG905766525;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046084;Lead;0.5;0;0;0.5;BKL;OK;0.5;2025-09-01;OK;0.5;;DOA2053453SA;0;1;1;1;0;OK;Activated;;;
19046085;serafina.lobianco;2025-09-02;Luce;Residenziale;Vibo;Bollettino Postale;15707;Ok Definitivo;6;Activated;2;;2025-10-13 11:23:01;4;Plenitude;no;2025-08-26 16:24:41;SPN_LEAD;27;;89439;no;Switch;GCL177773;260033;AG905766525;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046085;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-09-01;OK;0.5;DOA2053453SA;;0;1;1;1;0;OK;Activated;;;
19046261;silvana.macri;2025-09-01;Gas;Residenziale;Lamezia;Bollettino Postale;15707;Ok Definitivo;2;;3;CANCELLATO;2025-10-13 11:23:01;4;Plenitude;no;2025-08-28 14:13:22;SPN_LEAD;27;;92032;no;Subentro;GCL180262;266293;AG905796351;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;CREDIT CHECK KO;vuoto;19046261;Lead;0.5;0;0;0.5;BKL;KO;0;2025-09-01;OK;0;;DIN243102SA;0;1;0;0;0;KO;CANCELLATO;KO Moroso;;
19046280;elvira.capasso;2025-09-01;Luce;Residenziale;Lamezia;Bollettino Postale;15707;Ok Definitivo;6;Activated;2;;2025-10-13 11:23:01;4;Plenitude;no;2025-08-28 15:48:59;SPN_LEAD;27;;92129;no;Switch;GCL180343;266517;AG905777885;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046280;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-09-01;OK;0.5;DOA2052369SA;;0;1;1;1;0;OK;Activated;;;
19046339;sergio.cappelli;2025-09-11;Luce;Residenziale;Lamezia;Bollettino Postale;15698;Ko Definitivo;2;;2;;2025-10-13 11:23:01;4;Plenitude;no;2025-08-29 11:21:51;ENI_PLZ;93;;92539;no;Switch;Vuoto;171986;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046339;Valore;0.5;0;0;0.5;BKL;BKL;0;2025-09-01;KO;0;;;0;1;0;0;0;BKL;;;;
19046354;serafina.lobianco;2025-09-01;Luce;Residenziale;Vibo;Bollettino Postale;15707;Ok Definitivo;6;Activated;2;;2025-10-13 11:23:01;4;Plenitude;no;2025-08-29 13:26:10;SPN_LEAD;27;;92643;no;Voltura;GCL180689;267060;AG905766525;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046354;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-09-01;OK;0.5;DOA123488VS;;0;1;1;1;0;OK;Activated;;;
19046381;luigi.dassisi;2025-09-02;Luce;Residenziale;Castrovillari;RID;15707;Ok Definitivo;6;Activated;2;;2025-10-13 11:23:01;4;Plenitude;no;2025-08-30 07:32:21;SWO2;51;;92882;no;Switch;Vuoto;12547679;AG905796348;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046381;SWO;1;0;0;1;OK;BKL;1;2025-09-01;OK;1;DOA2051368SA;;0;1;1;1;0;OK;Activated;;;
19046382;luigi.dassisi;2025-09-02;Gas;Residenziale;Castrovillari;RID;15707;Ok Definitivo;2;;6;Activated;2025-10-13 11:23:01;4;Plenitude;no;2025-08-30 07:32:21;SWO2;51;;92883;no;Switch;Vuoto;12547679;AG905796348;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046382;SWO;1;0;0;1;BKL;OK;1;2025-09-01;OK;1;;DOA2051368SA;0;1;1;1;0;OK;Activated;;;
19046395;sergio.cappelli;2025-09-09;Luce;Residenziale;Lamezia;RID;15707;Ok Definitivo;6;Activated;2;;2025-10-13 11:23:01;4;Plenitude;no;2025-08-30 08:59:36;OUT_ORO;84;;92956;no;Switch;Vuoto;9832;AG905796351;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046395;Valore;1;0;0;1;OK;BKL;1;2025-09-01;OK;1;DOA2058814SA;;0;1;1;1;0;OK;Activated;;;
19046400;elvira.capasso;2025-09-02;Luce;Residenziale;Lamezia;RID;14;Bozza;2;;2;;2025-10-13 11:23:01;4;Plenitude;no;2025-08-30 09:09:07;SPN_LEAD;27;;92970;no;Switch;GCL180934;267409;;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;;vuoto;19046400;Lead;1;0;0;1;BKL;BKL;0;2025-09-01;KO;0;;;0;1;0;0;0;BKL;;;;
