id;creatoDa;data;comodity;mercato;sede;metodoPagamento;idStatoPda;statoPDA;idStatoLuce;statoLuce;idStatoGas;statoGas;dataImport;idMandato;mandato;winback;dataCreazione;campagna;idCampagna;metodoInvio;pratica;sanataBo;tipoAcquisizione;idGestioneLead;leadId;codMaticola;dataSwitchInLuce;dataSwitchOutLuce;dataSwitchInGas;dataSwitchOutGas;deltaMortalitaLuce;deltaMortalitaGas;noteStatoLuce;noteStatoGas;utm;id;tipoCampagna;pesoComodity;pesoInvio;pesoMPagamento;totalePesoLordo;faseLuce;faseGas;totalePesoNetto;mese;fasePDA;pesoTotalePagato;codicePlicoLuce;codicePlicoGas;pesoFormazione;pezzoLordo;pezzoNetto;pezzoPagato;pezzoFormazione;fasePost;statoPost;faseMacroStatoGas;faseMacroStatoLuce;
346;angela.rizzo;2025-03-03;Luce;Residenziale;Lamezia;Bolletta;29;OK FIRMA;2178;Chiusa;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 08:49:31;SPN_LEAD;27;Si;1025181;no;;GCL85590;63026;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Chiusa;;;346;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa;;;
355;angela.rizzo;2025-03-03;Luce;Residenziale;Lamezia;Rid;29;OK FIRMA;2205;Ripensamento;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 13:06:40;SPN_LEAD;27;Si;1025912;no;;GCL85943;63403;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Ripensamento;;;355;Lead;0.5;0;0;0.5;KO;BKL;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Ripensamento;;;
360;gino.lento;2025-03-03;Luce;Residenziale;Rende;Bolletta;29;OK FIRMA;2196;Chiusa da confermare;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 14:01:13;SPN_LEAD;27;Si;1026079;no;;GCL86028;63493;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Chiusa da confermare;;;360;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da confermare;;;
364;milena.passarelli;2025-03-03;Luce;Residenziale;Castrovillari;Bolletta;29;OK FIRMA;2196;Chiusa da confermare;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 15:35:54;SPN_LEAD;27;Si;1026382;no;;GCL86113;63592;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Chiusa da confermare;;;364;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da confermare;;;
365;annamaria.cavarra;2025-03-03;Luce;Residenziale;SanPietro;Rid;29;OK FIRMA;2183;Verifica documentale - QC RINUNCIA CLIENTE;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 15:47:44;EniSTEEL;41;Si;1026419;no;In Linea;;;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;verifica documentale  QC RINUNCIA CLIENTE;;365;Valore;0.5;0;0;0.5;KO;BKL;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Verifica documentale - QC RINUNCIA CLIENTE;;;
367;annamaria.cavarra;2025-03-03;Gas;Residenziale;SanPietro;Rid;29;OK FIRMA;2;;57;verifica documentale  QC RINUNCIA CLIENTE;2025-04-12 10:25:01;1;Enel;no;2025-02-25 15:58:04;EniSTEEL;41;Si;1026453;no;In Linea;;;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;verifica documentale  QC RINUNCIA CLIENTE;;367;Valore;0.5;0;0;0.5;BKL;KO;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;verifica documentale  QC RINUNCIA CLIENTE;;;
369;mariarosa.barba;2025-03-03;Luce;Residenziale;Vibo;Rid;29;OK FIRMA;2205;Ripensamento;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 16:05:00;SPN_LEAD;27;Si;1026480;no;In Linea;GCL86135;63616;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Ripensamento;;;369;Lead;0.5;0;0;0.5;KO;BKL;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Ripensamento;;;
371;mariarosa.barba;2025-03-03;Gas;Residenziale;Vibo;Rid;29;OK FIRMA;2;;53;Ripensamento;2025-04-12 10:25:01;1;Enel;no;2025-02-25 16:20:23;SPN_LEAD;27;Si;1026540;no;In Linea;GCL86135;63616;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Ripensamento;;371;Lead;0.5;0;0;0.5;BKL;KO;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Ripensamento;;;
375;francesco.datri;2025-03-03;Luce;Residenziale;Castrovillari;Bolletta;29;OK FIRMA;2205;Ripensamento;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 16:42:54;PleniCb;48;Si;1026637;no;;NON_PRESENTE;Non Presente;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Ripensamento;;;375;Valore;0.5;0;0;0.5;KO;BKL;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Ripensamento;;;
381;antonio.bruno;2025-03-03;Gas;Residenziale;Catanzaro;Bolletta;29;OK FIRMA;2;;42;Chiusa da confermare;2025-04-12 10:25:01;1;Enel;no;2025-02-25 17:36:51;SPN_LEAD;27;Si;1026804;no;;GCL34459;37812;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa da confermare;;381;Lead;0.5;0;0;0.5;BKL;OK;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da confermare;;;
382;antonio.bruno;2025-03-03;Luce;Residenziale;Catanzaro;Bolletta;29;OK FIRMA;2186;Chiusa da Confermare;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 17:39:50;SPN_LEAD;27;Si;1026818;no;;GCL34459;37812;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa da confermare;;382;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da Confermare;;;
385;concetta.orifici;2025-03-03;Luce;Residenziale;Rende;Bolletta;29;OK FIRMA;2196;Chiusa da confermare;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-25 18:35:25;SPN_LEAD;27;Si;1026947;no;;GCL86283;63761;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Chiusa da confermare;;;385;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da confermare;;;
386;concetta.orifici;2025-03-03;Gas;Residenziale;Rende;Bolletta;29;OK FIRMA;2;;42;Chiusa da confermare;2025-04-12 10:25:01;1;Enel;no;2025-02-25 18:48:06;SPN_LEAD;27;Si;1026958;no;;GCL86283;63761;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa da confermare;;386;Lead;0.5;0;0;0.5;BKL;OK;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da confermare;;;
398;maria.marinaro;2025-03-03;Luce;Residenziale;Lamezia;Bolletta;29;OK FIRMA;2178;Chiusa;40;Chiusa;2025-04-12 10:25:01;1;Enel;no;2025-02-26 11:41:47;SPN_LEAD;27;Si;1027673;no;;GCL86667;66903;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa;;398;Lead;0.5;0;0;0.5;OK;OK;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa;;;
404;angela.rizzo;2025-03-03;Luce;Residenziale;Lamezia;Bolletta;29;OK FIRMA;2213;Telefonata  QC RINUNCIA CLIENTE;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-26 13:10:08;SPN_LEAD;27;Si;1027968;no;;GCL86748;66991;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Telefonata  QC RINUNCIA CLIENTE;;;404;Lead;0.5;0;0;0.5;KO;BKL;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Telefonata  QC RINUNCIA CLIENTE;;;
405;angela.rizzo;2025-03-03;Gas;Residenziale;Lamezia;Bolletta;29;OK FIRMA;2;;65;Telefonata  QC RINUNCIA CLIENTE;2025-04-12 10:25:01;1;Enel;no;2025-02-26 13:10:41;SPN_LEAD;27;Si;1027970;no;;GCL86748;66991;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Telefonata  QC RINUNCIA CLIENTE;;405;Lead;0.5;0;0;0.5;BKL;KO;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Telefonata  QC RINUNCIA CLIENTE;;;
408;carmen.zangara;2025-03-12;Luce;Residenziale;SanPietro;Bolletta;35;Pratica Doppia;2226;KO Definitivo;40;Chiusa;2025-04-12 10:25:01;1;Enel;no;2025-02-26 14:06:55;SWO3;46;Si;1028214;no;;NON_PRESENTE;12057797;COMPARATORE;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa;;408;Valore;0.5;0;0;0.5;KO;OK;0;2025-03-01;KO;0;;;0;1;0;0;0;KO;KO Definitivo;;;
409;carmen.zangara;2025-03-12;Gas;Residenziale;SanPietro;Bolletta;29;OK FIRMA;2;;40;Chiusa;2025-04-12 10:25:01;1;Enel;no;2025-02-26 14:09:05;SWO3;46;Si;1028233;no;;NON_PRESENTE;12057797;COMPARATORE;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa;;409;Valore;0.5;0;0;0.5;BKL;OK;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa;;;
411;milena.passarelli;2025-03-03;Luce;Residenziale;Castrovillari;Bolletta;29;OK FIRMA;2220;Telefonata  QC Firma non confermata;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-26 14:15:37;SPN_LEAD;27;Si;1028260;no;;GCL86873;67132;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Telefonata  QC Firma non confermata;;;411;Lead;0.5;0;0;0.5;KO;BKL;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Telefonata  QC Firma non confermata;;;
416;antonio.scozzafava;2025-03-03;Gas;Residenziale;Catanzaro;Rid;29;OK FIRMA;2;;55;Verifica documentale  ACQUISIZIONE TELEFONICO CANALE FACE;2025-04-12 10:25:01;1;Enel;no;2025-02-26 15:27:18;SPN_LEAD;27;Si;1028589;no;;GCL86999;67267;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Verifica documentale  ACQUISIZIONE TELEFONICO CANALE FACE;;416;Lead;0.5;0;0;0.5;BKL;KO;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Verifica documentale  ACQUISIZIONE TELEFONICO CANALE FACE;;;
420;antonio.scozzafava;2025-03-03;Luce;Residenziale;Catanzaro;Rid;29;OK FIRMA;2208;Verifica documentale  ACQUISIZIONE TELEFONICO CANALE FACE;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-26 15:33:17;SPN_LEAD;27;Si;1028612;no;;GCL86999;67267;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Verifica documentale  ACQUISIZIONE TELEFONICO CANALE FACE;;;420;Lead;0.5;0;0;0.5;KO;BKL;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Verifica documentale  ACQUISIZIONE TELEFONICO CANALE FACE;;;
426;milena.passarelli;2025-03-03;Luce;Residenziale;Castrovillari;Bolletta;29;OK FIRMA;2196;Chiusa da confermare;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-26 16:54:33;SPN_LEAD;27;Si;1028889;no;In Linea;GCL87211;67494;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Chiusa da confermare;;;426;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da confermare;;;
437;gino.lento;2025-03-03;Gas;Residenziale;Rende;Bolletta;29;OK FIRMA;2;;51;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;2025-04-12 10:25:01;1;Enel;no;2025-02-27 09:10:27;SPN_LEAD;27;Si;1029547;no;;GCL87527;67842;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;;437;Lead;0.5;0;0;0.5;BKL;KO;0;2025-03-01;OK;0;;;0;1;0;0;0;KO;Cliente non attivabile per presenza di morosit nei confronti di Enel Energia;;;
445;maria.marinaro;2025-03-03;Gas;Residenziale;Lamezia;Bolletta;29;OK FIRMA;2;;40;Chiusa;2025-04-12 10:25:01;1;Enel;no;2025-02-27 11:14:32;SPN_LEAD;27;Si;1029965;no;;GCL86667;66903;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;;Chiusa;;445;Lead;0.5;0;0;0.5;BKL;OK;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa;;;
446;francesca.filomia;2025-03-03;Luce;Residenziale;Castrovillari;Bolletta;29;OK FIRMA;2196;Chiusa da confermare;2;;2025-04-12 10:25:01;1;Enel;no;2025-02-27 12:58:31;SPN_LEAD;27;Si;1030292;no;;GCL88002;68356;AGENZIA;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;Chiusa da confermare;;;446;Lead;0.5;0;0;0.5;OK;BKL;0.5;2025-03-01;OK;0.5;;;0;1;1;1;0;OK;Chiusa da confermare;;;
